,session,type,outcome,sponsor_count,section_count,word_count
BILLS-115hr2742rds,115,hr,rds,0,6,1657
BILLS-115hr2743ih,115,hr,ih,1,3,214
BILLS-115hr2744ih,115,hr,ih,1,4,896
BILLS-115hr2745ih,115,hr,ih,65,7,1775
BILLS-115hr2746ih,115,hr,ih,2,7,9855
BILLS-115hr2747ih,115,hr,ih,7,4,949
BILLS-115hr2748ih,115,hr,ih,12,6,1062
BILLS-115hr2749eh,115,hr,eh,0,2,717
BILLS-115hr2749ih,115,hr,ih,2,2,726
BILLS-115hr2749rfs,115,hr,rfs,0,2,698
BILLS-115hr2749rh,115,hr,rh,3,2,833
BILLS-115hr274eh,115,hr,eh,0,3,617
BILLS-115hr274enr,115,hr,enr,0,3,620
BILLS-115hr274ih,115,hr,ih,5,3,639
BILLS-115hr274rfs,115,hr,rfs,0,3,611
BILLS-115hr274rs,115,hr,rs,1,3,660
BILLS-115hr2750ih,115,hr,ih,2,2,429
BILLS-115hr2751ih,115,hr,ih,3,2,3234
BILLS-115hr2752ih,115,hr,ih,3,2,3232
BILLS-115hr2753ih,115,hr,ih,2,2,1276
BILLS-115hr2754ih,115,hr,ih,8,2,340
BILLS-115hr2755ih,115,hr,ih,2,13,2331
BILLS-115hr2756ih,115,hr,ih,7,28,11046
BILLS-115hr2757ih,115,hr,ih,6,6,3562
BILLS-115hr2758ih,115,hr,ih,1,2,679
BILLS-115hr2759ih,115,hr,ih,10,2,340
BILLS-115hr275ih,115,hr,ih,2,2,1378
BILLS-115hr2760ih,115,hr,ih,9,2,315
BILLS-115hr2761ih,115,hr,ih,10,2,526
BILLS-115hr2762ih,115,hr,ih,25,2,620
BILLS-115hr2763eh,115,hr,eh,2,16,4428
BILLS-115hr2763ih,115,hr,ih,3,6,594
BILLS-115hr2763rfs,115,hr,rfs,2,16,4421
BILLS-115hr2763rh,115,hr,rh,4,25,6474
BILLS-115hr2764ih,115,hr,ih,7,2,843
BILLS-115hr2765ih,115,hr,ih,4,3,466
BILLS-115hr2766ih,115,hr,ih,5,2,433
BILLS-115hr2767ih,115,hr,ih,1,6,1125
BILLS-115hr2768eh,115,hr,eh,0,3,606
BILLS-115hr2768ih,115,hr,ih,1,3,611
BILLS-115hr2768rfs,115,hr,rfs,0,3,607
BILLS-115hr2768rh,115,hr,rh,1,3,678
BILLS-115hr2768rs,115,hr,rs,1,3,639
BILLS-115hr2769ih,115,hr,ih,1,1,251
BILLS-115hr276eh,115,hr,eh,0,1,280
BILLS-115hr276ih,115,hr,ih,1,1,289
BILLS-115hr276rfs,115,hr,rfs,0,1,282
BILLS-115hr2770ih,115,hr,ih,1,2,526
BILLS-115hr2771ih,115,hr,ih,16,5,827
BILLS-115hr2772eas,115,hr,eas,0,2,372
BILLS-115hr2772eh,115,hr,eh,0,2,341
BILLS-115hr2772enr,115,hr,enr,0,2,394
BILLS-115hr2772ih,115,hr,ih,2,2,350
BILLS-115hr2772rfs,115,hr,rfs,0,2,332
BILLS-115hr2772rh,115,hr,rh,3,2,447
BILLS-115hr2773ih,115,hr,ih,4,1,606
BILLS-115hr2774ih,115,hr,ih,3,2,698
BILLS-115hr2775ih,115,hr,ih,8,2,278
BILLS-115hr2775rh,115,hr,rh,16,2,447
BILLS-115hr2776ih,115,hr,ih,7,3,749
BILLS-115hr2776rh,115,hr,rh,11,3,897
BILLS-115hr2777ih,115,hr,ih,8,4,633
BILLS-115hr2778ih,115,hr,ih,3,2,506
BILLS-115hr2779ih,115,hr,ih,2,2,594
BILLS-115hr277ih,115,hr,ih,18,57,31343
BILLS-115hr2780ih,115,hr,ih,3,2,562
BILLS-115hr2781eh,115,hr,eh,0,2,536
BILLS-115hr2781ih,115,hr,ih,2,2,525
BILLS-115hr2781rfs,115,hr,rfs,0,2,506
BILLS-115hr2781rh,115,hr,rh,3,2,707
BILLS-115hr2782ih,115,hr,ih,2,6,841
BILLS-115hr2783ih,115,hr,ih,1,3,453
BILLS-115hr2784ih,115,hr,ih,4,6,652
BILLS-115hr2785ih,115,hr,ih,2,2,967
BILLS-115hr2786eh,115,hr,eh,0,1,171
BILLS-115hr2786ih,115,hr,ih,2,1,181
BILLS-115hr2786rfs,115,hr,rfs,0,1,168
BILLS-115hr2786rh,115,hr,rh,2,1,309
BILLS-115hr2786rs,115,hr,rs,1,1,230
BILLS-115hr2787eh,115,hr,eh,0,4,1177
BILLS-115hr2787ih,115,hr,ih,3,2,920
BILLS-115hr2787rfs,115,hr,rfs,0,4,1166
BILLS-115hr2787rh,115,hr,rh,4,3,1295
BILLS-115hr2788ih,115,hr,ih,30,4,1571
BILLS-115hr2789ih,115,hr,ih,3,2,683
BILLS-115hr278ih,115,hr,ih,1,2,314
BILLS-115hr2790ih,115,hr,ih,20,5,483
BILLS-115hr2791ih,115,hr,ih,1,2,250
BILLS-115hr2792eh,115,hr,eh,0,2,389
BILLS-115hr2792ih,115,hr,ih,2,2,900
BILLS-115hr2792rfs,115,hr,rfs,0,2,373
BILLS-115hr2792rh,115,hr,rh,3,2,552
BILLS-115hr2793ih,115,hr,ih,2,2,354
BILLS-115hr2794ih,115,hr,ih,1,1,550
BILLS-115hr2795ih,115,hr,ih,6,5,866
BILLS-115hr2796ih,115,hr,ih,4,3,1102
BILLS-115hr2797ih,115,hr,ih,2,12,6474
BILLS-115hr2798ih,115,hr,ih,1,3,2082
BILLS-115hr2799ih,115,hr,ih,5,3,3009
BILLS-115hr279ih,115,hr,ih,1,3,2583
BILLS-115hr27eh,115,hr,eh,0,2,271
BILLS-115hr27rfs,115,hr,rfs,0,2,248
BILLS-115hr2800ih,115,hr,ih,30,10,2850
BILLS-115hr2801ih,115,hr,ih,3,2,560
BILLS-115hr2802ih,115,hr,ih,3,2,1911
BILLS-115hr2803ih,115,hr,ih,3,26,6299
BILLS-115hr2804ih,115,hr,ih,2,7,1709
BILLS-115hr2805ih,115,hr,ih,3,1,151
BILLS-115hr2805rh,115,hr,rh,9,4,1274
BILLS-115hr2806ih,115,hr,ih,12,2,519
BILLS-115hr2807ih,115,hr,ih,4,1,1089
BILLS-115hr2808ih,115,hr,ih,2,2,320
BILLS-115hr2809eh,115,hr,eh,0,11,11828
BILLS-115hr2809ih,115,hr,ih,9,9,11187
BILLS-115hr2809rfs,115,hr,rfs,0,11,11824
BILLS-115hr2809rh,115,hr,rh,16,10,11509
BILLS-115hr280ih,115,hr,ih,1,3,363
BILLS-115hr2810eas,115,hr,eas,127,704,241777
BILLS-115hr2810eh,115,hr,eh,154,702,247456
BILLS-115hr2810enr,115,hr,enr,185,786,315219
BILLS-115hr2810ih,115,hr,ih,4,44,5029
BILLS-115hr2810pap,115,hr,pap,127,704,241795
BILLS-115hr2810pcs,115,hr,pcs,154,702,247494
BILLS-115hr2810rh,115,hr,rh,145,533,206458
BILLS-115hr2811ih,115,hr,ih,2,5,1112
BILLS-115hr2812ih,115,hr,ih,1,5,803
BILLS-115hr2813ih,115,hr,ih,1,2,266
BILLS-115hr2814ih,115,hr,ih,10,2,772
BILLS-115hr2815eh,115,hr,eh,0,1,203
BILLS-115hr2815enr,115,hr,enr,0,1,201
BILLS-115hr2815ih,115,hr,ih,12,1,233
BILLS-115hr2815rfs,115,hr,rfs,0,1,192
BILLS-115hr2815rs,115,hr,rs,1,1,236
BILLS-115hr2816ih,115,hr,ih,1,2,234
BILLS-115hr2817ih,115,hr,ih,1,2,340
BILLS-115hr2818ih,115,hr,ih,1,2,2332
BILLS-115hr2819ih,115,hr,ih,3,4,2837
BILLS-115hr281ih,115,hr,ih,2,12,1575
BILLS-115hr2820ih,115,hr,ih,4,7,1511
BILLS-115hr2821ih,115,hr,ih,2,8,742
BILLS-115hr2822ih,115,hr,ih,10,2,423
BILLS-115hr2823ih,115,hr,ih,4,3,4394
BILLS-115hr2823rh,115,hr,rh,31,3,4688
BILLS-115hr2824eh,115,hr,eh,1,13,2618
BILLS-115hr2824ih,115,hr,ih,8,12,2656
BILLS-115hr2824rfs,115,hr,rfs,1,13,2581
BILLS-115hr2824rh,115,hr,rh,9,10,2414
BILLS-115hr2825eh,115,hr,eh,30,258,91574
BILLS-115hr2825ih,115,hr,ih,4,33,16772
BILLS-115hr2825rfs,115,hr,rfs,30,258,91566
BILLS-115hr2825rh,115,hr,rh,39,175,67910
BILLS-115hr2825rs,115,hr,rs,27,253,156522
BILLS-115hr2826ih,115,hr,ih,5,16,2181
BILLS-115hr2827ih,115,hr,ih,67,2,465
BILLS-115hr2828eh,115,hr,eh,0,1,270
BILLS-115hr2828ih,115,hr,ih,1,1,276
BILLS-115hr2828rfs,115,hr,rfs,0,1,275
BILLS-115hr2829ih,115,hr,ih,7,2,404
BILLS-115hr282eh,115,hr,eh,0,3,454
BILLS-115hr282ih,115,hr,ih,1,3,459
BILLS-115hr282rfs,115,hr,rfs,0,3,446
BILLS-115hr282rh,115,hr,rh,12,3,581
BILLS-115hr2830ih,115,hr,ih,4,6,542
BILLS-115hr2831ih,115,hr,ih,3,11,2264
BILLS-115hr2832ih,115,hr,ih,5,22,9561
BILLS-115hr2833ih,115,hr,ih,2,4,522
BILLS-115hr2834eh,115,hr,eh,0,3,1652
BILLS-115hr2834ih,115,hr,ih,2,3,1694
BILLS-115hr2834rfs,115,hr,rfs,0,3,1644
BILLS-115hr2835ih,115,hr,ih,2,1,645
BILLS-115hr2836ih,115,hr,ih,2,3,1217
BILLS-115hr2837ih,115,hr,ih,8,2,1234
BILLS-115hr2838ih,115,hr,ih,1,2,1233
BILLS-115hr2839ih,115,hr,ih,3,7,2997
BILLS-115hr283ih,115,hr,ih,1,2,310
BILLS-115hr2840ih,115,hr,ih,90,3,1180
BILLS-115hr2841ih,115,hr,ih,20,2,1002
BILLS-115hr2842eh,115,hr,eh,0,3,1468
BILLS-115hr2842ih,115,hr,ih,2,3,1155
BILLS-115hr2842rfs,115,hr,rfs,0,3,1464
BILLS-115hr2842rh,115,hr,rh,3,3,1346
BILLS-115hr2843ih,115,hr,ih,2,4,1867
BILLS-115hr2844ih,115,hr,ih,7,1,194
BILLS-115hr2845ih,115,hr,ih,28,9,3780
BILLS-115hr2846eh,115,hr,eh,0,8,1634
BILLS-115hr2846ih,115,hr,ih,2,7,1474
BILLS-115hr2846rfs,115,hr,rfs,0,8,1633
BILLS-115hr2846rh,115,hr,rh,3,8,1794
BILLS-115hr2847eh,115,hr,eh,0,2,1647
BILLS-115hr2847ih,115,hr,ih,3,2,1659
BILLS-115hr2847rfs,115,hr,rfs,0,2,1646
BILLS-115hr2848ih,115,hr,ih,2,4,913
BILLS-115hr2849ih,115,hr,ih,4,30,10155
BILLS-115hr284ih,115,hr,ih,1,2,878
BILLS-115hr2850ih,115,hr,ih,2,3,1143
BILLS-115hr2851eh,115,hr,eh,0,12,5221
BILLS-115hr2851ih,115,hr,ih,3,10,4137
BILLS-115hr2851rfs,115,hr,rfs,0,12,5216
BILLS-115hr2852ih,115,hr,ih,3,3,1189
BILLS-115hr2853ih,115,hr,ih,23,5,1213
BILLS-115hr2854ih,115,hr,ih,80,4,994
BILLS-115hr2855ih,115,hr,ih,16,8,4097
BILLS-115hr2856ih,115,hr,ih,8,3,1379
BILLS-115hr2857eh,115,hr,eh,0,3,878
BILLS-115hr2857ih,115,hr,ih,2,3,840
BILLS-115hr2857rfs,115,hr,rfs,0,3,871
BILLS-115hr2858ih,115,hr,ih,8,3,1494
BILLS-115hr2859ih,115,hr,ih,8,3,4881
BILLS-115hr285ih,115,hr,ih,8,3,427
BILLS-115hr2860ih,115,hr,ih,4,2,535
BILLS-115hr2861ih,115,hr,ih,1,2,582
BILLS-115hr2862ih,115,hr,ih,18,2,955
BILLS-115hr2863ih,115,hr,ih,1,4,1196
BILLS-115hr2864eh,115,hr,eh,0,1,252
BILLS-115hr2864ih,115,hr,ih,2,2,280
BILLS-115hr2864rfs,115,hr,rfs,0,1,248
BILLS-115hr2864rh,115,hr,rh,6,1,403
BILLS-115hr2865ih,115,hr,ih,1,3,3375
BILLS-115hr2866eh,115,hr,eh,0,3,744
BILLS-115hr2866ih,115,hr,ih,2,3,759
BILLS-115hr2866rfs,115,hr,rfs,0,3,744
BILLS-115hr2867ih,115,hr,ih,10,3,1170
BILLS-115hr2868ih,115,hr,ih,1,4,781
BILLS-115hr2868rh,115,hr,rh,3,4,891
BILLS-115hr2869ih,115,hr,ih,1,1,428
BILLS-115hr286ih,115,hr,ih,2,2,347
BILLS-115hr2870ih,115,hr,ih,2,4,3712
BILLS-115hr2871ih,115,hr,ih,2,6,951
BILLS-115hr2872eh,115,hr,eh,0,3,997
BILLS-115hr2872ih,115,hr,ih,1,2,1144
BILLS-115hr2872rfs,115,hr,rfs,0,3,996
BILLS-115hr2872rh,115,hr,rh,1,3,1266
BILLS-115hr2873eh,115,hr,eh,0,1,202
BILLS-115hr2873enr,115,hr,enr,0,1,201
BILLS-115hr2873ih,115,hr,ih,18,1,264
BILLS-115hr2873rfs,115,hr,rfs,0,1,192
BILLS-115hr2873rs,115,hr,rs,1,1,235
BILLS-115hr2874eh,115,hr,eh,8,60,25911
BILLS-115hr2874ih,115,hr,ih,3,28,12758
BILLS-115hr2874rfs,115,hr,rfs,8,60,25868
BILLS-115hr2874rh,115,hr,rh,6,35,15641
BILLS-115hr2875ih,115,hr,ih,4,18,5273
BILLS-115hr2875rh,115,hr,rh,8,18,5387
BILLS-115hr2876ih,115,hr,ih,3,11,5669
BILLS-115hr2877ih,115,hr,ih,7,2,255
BILLS-115hr2878ih,115,hr,ih,15,2,285
BILLS-115hr2879ih,115,hr,ih,3,7,2379
BILLS-115hr287ih,115,hr,ih,1,2,323
BILLS-115hr2880eh,115,hr,eh,0,3,1134
BILLS-115hr2880ih,115,hr,ih,1,2,545
BILLS-115hr2880rfs,115,hr,rfs,0,3,1134
BILLS-115hr2880rh,115,hr,rh,1,3,1264
BILLS-115hr2881ih,115,hr,ih,3,2,530
BILLS-115hr2882ih,115,hr,ih,2,2,364
BILLS-115hr2883eh,115,hr,eh,0,2,1556
BILLS-115hr2883ih,115,hr,ih,2,2,1553
BILLS-115hr2883rfs,115,hr,rfs,0,2,1536
BILLS-115hr2883rh,115,hr,rh,3,2,1746
BILLS-115hr2884ih,115,hr,ih,1,2,290
BILLS-115hr2885ih,115,hr,ih,2,5,1580
BILLS-115hr2886ih,115,hr,ih,13,7,1101
BILLS-115hr2887ih,115,hr,ih,8,4,1419
BILLS-115hr2888eh,115,hr,eh,0,3,1046
BILLS-115hr2888ih,115,hr,ih,1,3,1052
BILLS-115hr2888rfs,115,hr,rfs,0,3,1047
BILLS-115hr2888rh,115,hr,rh,1,3,1136
BILLS-115hr2888rs,115,hr,rs,1,3,1089
BILLS-115hr2889ih,115,hr,ih,3,2,237
BILLS-115hr288eh,115,hr,eh,0,2,393
BILLS-115hr288ih,115,hr,ih,2,2,404
BILLS-115hr288rfs,115,hr,rfs,0,2,386
BILLS-115hr2890ih,115,hr,ih,2,2,356
BILLS-115hr2891ih,115,hr,ih,2,1,265
BILLS-115hr2892ih,115,hr,ih,2,2,839
BILLS-115hr2893ih,115,hr,ih,2,4,996
BILLS-115hr2894ih,115,hr,ih,1,2,303
BILLS-115hr2895ih,115,hr,ih,26,3,477
BILLS-115hr2896ih,115,hr,ih,1,3,733
BILLS-115hr2897eh,115,hr,eh,0,1,537
BILLS-115hr2897ih,115,hr,ih,1,1,580
BILLS-115hr2897rfs,115,hr,rfs,0,1,510
BILLS-115hr2897rh,115,hr,rh,2,1,729
BILLS-115hr2897rs,115,hr,rs,1,2,669
BILLS-115hr2898ih,115,hr,ih,2,2,615
BILLS-115hr2899ih,115,hr,ih,15,6,5650
BILLS-115hr289eh,115,hr,eh,3,11,2949
BILLS-115hr289ih,115,hr,ih,3,11,2559
BILLS-115hr289rfs,115,hr,rfs,3,11,2938
BILLS-115hr289rh,115,hr,rh,14,11,3175
BILLS-115hr28eh,115,hr,eh,0,4,2280
BILLS-115hr28rfs,115,hr,rfs,0,4,2252
BILLS-115hr2900ih,115,hr,ih,4,2,762
BILLS-115hr2901ih,115,hr,ih,2,2,1354
BILLS-115hr2902ih,115,hr,ih,6,3,1062
BILLS-115hr2903ih,115,hr,ih,2,2,744
BILLS-115hr2904ih,115,hr,ih,105,4,1660
BILLS-115hr2905eh,115,hr,eh,0,3,526
BILLS-115hr2905ih,115,hr,ih,2,4,646
BILLS-115hr2905rfs,115,hr,rfs,0,3,502
BILLS-115hr2906ih,115,hr,ih,2,3,1038
BILLS-115hr2907ih,115,hr,ih,1,2,1154
BILLS-115hr2907rh,115,hr,rh,4,2,1270
BILLS-115hr2908ih,115,hr,ih,28,5,2115
BILLS-115hr2909ih,115,hr,ih,22,3,725
BILLS-115hr290eh,115,hr,eh,2,7,3384
BILLS-115hr290ih,115,hr,ih,4,7,3395
BILLS-115hr290rfs,115,hr,rfs,2,7,3374
BILLS-115hr2910eh,115,hr,eh,0,3,2050
BILLS-115hr2910ih,115,hr,ih,5,2,1994
BILLS-115hr2910rfs,115,hr,rfs,0,3,2045
BILLS-115hr2910rh,115,hr,rh,6,2,2094
BILLS-115hr2911ih,115,hr,ih,11,11,3078
BILLS-115hr2912ih,115,hr,ih,13,7,4774
BILLS-115hr2913ih,115,hr,ih,2,3,2594
BILLS-115hr2914ih,115,hr,ih,2,3,556
BILLS-115hr2915ih,115,hr,ih,31,3,1134
BILLS-115hr2916ih,115,hr,ih,2,8,1774
BILLS-115hr2917ih,115,hr,ih,15,2,507
BILLS-115hr2918ih,115,hr,ih,2,3,859
BILLS-115hr2919ih,115,hr,ih,7,2,1019
BILLS-115hr291ih,115,hr,ih,11,2,493
BILLS-115hr2920ih,115,hr,ih,2,6,1032
BILLS-115hr2921eh,115,hr,eh,1,2,932
BILLS-115hr2921ih,115,hr,ih,10,2,991
BILLS-115hr2921rfs,115,hr,rfs,1,2,925
BILLS-115hr2921rh,115,hr,rh,11,2,1125
BILLS-115hr2922ih,115,hr,ih,15,35,7104
BILLS-115hr2923ih,115,hr,ih,3,4,1637
BILLS-115hr2924ih,115,hr,ih,8,1,1587
BILLS-115hr2925ih,115,hr,ih,2,1,238
BILLS-115hr2926ih,115,hr,ih,2,4,480
BILLS-115hr2927ih,115,hr,ih,1,2,503
BILLS-115hr2928ih,115,hr,ih,2,1,295
BILLS-115hr2929ih,115,hr,ih,2,2,441
BILLS-115hr292ih,115,hr,ih,2,2,350
BILLS-115hr2930ih,115,hr,ih,4,6,2065
BILLS-115hr2931ih,115,hr,ih,2,8,4404
BILLS-115hr2932ih,115,hr,ih,6,4,1779
BILLS-115hr2933ih,115,hr,ih,21,6,5841
BILLS-115hr2934ih,115,hr,ih,12,2,266
BILLS-115hr2935ih,115,hr,ih,11,3,496
BILLS-115hr2936eh,115,hr,eh,0,61,15292
BILLS-115hr2936ih,115,hr,ih,7,56,14107
BILLS-115hr2936rfs,115,hr,rfs,0,61,15260
BILLS-115hr2936rh,115,hr,rh,19,114,28778
BILLS-115hr2937eh,115,hr,eh,0,5,1447
BILLS-115hr2937ih,115,hr,ih,1,5,1452
BILLS-115hr2937rfs,115,hr,rfs,0,5,1420
BILLS-115hr2937rh,115,hr,rh,2,5,1572
BILLS-115hr2938ih,115,hr,ih,16,2,689
BILLS-115hr2939ih,115,hr,ih,10,5,877
BILLS-115hr2939rh,115,hr,rh,13,5,1025
BILLS-115hr293ih,115,hr,ih,1,2,224
BILLS-115hr2940ih,115,hr,ih,1,2,367
BILLS-115hr2941eh,115,hr,eh,0,6,917
BILLS-115hr2941ih,115,hr,ih,5,6,938
BILLS-115hr2941rfs,115,hr,rfs,0,6,914
BILLS-115hr2941rh,115,hr,rh,5,6,1025
BILLS-115hr2942ih,115,hr,ih,73,12,7865
BILLS-115hr2943ih,115,hr,ih,25,7,911
BILLS-115hr2944ih,115,hr,ih,55,2,636
BILLS-115hr2945ih,115,hr,ih,1,2,370
BILLS-115hr2946ih,115,hr,ih,2,3,971
BILLS-115hr2947ih,115,hr,ih,1,2,344
BILLS-115hr2948ih,115,hr,ih,4,3,1106
BILLS-115hr2948rh,115,hr,rh,47,3,1318
BILLS-115hr2949ih,115,hr,ih,2,2,871
BILLS-115hr294eh,115,hr,eh,0,1,197
BILLS-115hr294enr,115,hr,enr,0,1,197
BILLS-115hr294ih,115,hr,ih,36,1,306
BILLS-115hr294rfs,115,hr,rfs,0,1,188
BILLS-115hr294rs,115,hr,rs,1,1,230
BILLS-115hr2950ih,115,hr,ih,1,2,462
BILLS-115hr2951ih,115,hr,ih,2,2,652
BILLS-115hr2952ih,115,hr,ih,8,3,1586
BILLS-115hr2953ih,115,hr,ih,21,1,482
BILLS-115hr2954eh,115,hr,eh,0,3,395
BILLS-115hr2954ih,115,hr,ih,2,2,367
BILLS-115hr2954rfs,115,hr,rfs,0,3,382
BILLS-115hr2954rh,115,hr,rh,8,2,510
BILLS-115hr2955ih,115,hr,ih,1,2,446
BILLS-115hr2956ih,115,hr,ih,10,5,840
BILLS-115hr2957ih,115,hr,ih,3,17,8004
BILLS-115hr2958ih,115,hr,ih,10,9,2150
BILLS-115hr2959ih,115,hr,ih,1,2,477
BILLS-115hr295ih,115,hr,ih,9,2,771
BILLS-115hr2960ih,115,hr,ih,9,10,3953
BILLS-115hr2961ih,115,hr,ih,5,4,2517
BILLS-115hr2962ih,115,hr,ih,1,2,235
BILLS-115hr2963ih,115,hr,ih,2,1,262
BILLS-115hr2964ih,115,hr,ih,1,1,219
BILLS-115hr2965ih,115,hr,ih,1,4,1069
BILLS-115hr2966ih,115,hr,ih,1,9,1982
BILLS-115hr2967ih,115,hr,ih,3,2,862
BILLS-115hr2968ih,115,hr,ih,3,2,538
BILLS-115hr2969ih,115,hr,ih,2,2,699
BILLS-115hr296ih,115,hr,ih,1,4,583
BILLS-115hr2970ih,115,hr,ih,14,2,528
BILLS-115hr2971ih,115,hr,ih,1,1,546
BILLS-115hr2972ih,115,hr,ih,61,2,789
BILLS-115hr2973ih,115,hr,ih,62,1,543
BILLS-115hr2974ih,115,hr,ih,2,5,3691
BILLS-115hr2975ih,115,hr,ih,4,10,1375
BILLS-115hr2976ih,115,hr,ih,6,2,683
BILLS-115hr2977ih,115,hr,ih,1,3,1501
BILLS-115hr2978ih,115,hr,ih,182,12,7536
BILLS-115hr2979eh,115,hr,eh,0,1,203
BILLS-115hr2979enr,115,hr,enr,0,1,201
BILLS-115hr2979ih,115,hr,ih,1,1,210
BILLS-115hr2979rfs,115,hr,rfs,0,1,192
BILLS-115hr2979rs,115,hr,rs,1,1,236
BILLS-115hr297ih,115,hr,ih,1,8,2671
BILLS-115hr2980ih,115,hr,ih,2,3,328
BILLS-115hr2981ih,115,hr,ih,4,8,1364
BILLS-115hr2982ih,115,hr,ih,6,2,728
BILLS-115hr2983ih,115,hr,ih,32,2,287
BILLS-115hr2984ih,115,hr,ih,1,2,509
BILLS-115hr2985ih,115,hr,ih,1,2,520
BILLS-115hr2986ih,115,hr,ih,1,2,531
BILLS-115hr2987ih,115,hr,ih,4,12,5883
BILLS-115hr2987rh,115,hr,rh,18,14,6677
BILLS-115hr2988ih,115,hr,ih,1,2,232
BILLS-115hr2989eh,115,hr,eh,0,10,1775
BILLS-115hr2989enr,115,hr,enr,0,10,1794
BILLS-115hr2989ih,115,hr,ih,2,10,1799
BILLS-115hr2989rds,115,hr,rds,0,10,1773
BILLS-115hr2989rh,115,hr,rh,19,9,1900
BILLS-115hr298ih,115,hr,ih,1,2,227
BILLS-115hr2990ih,115,hr,ih,1,1,508
BILLS-115hr2991eh,115,hr,eh,0,9,1972
BILLS-115hr2991ih,115,hr,ih,3,10,2063
BILLS-115hr2991rfs,115,hr,rfs,0,9,1973
BILLS-115hr2991rh,115,hr,rh,18,9,2149
BILLS-115hr2992ih,115,hr,ih,7,3,302
BILLS-115hr2993ih,115,hr,ih,1,2,420
BILLS-115hr2994ih,115,hr,ih,9,2,213
BILLS-115hr2995ih,115,hr,ih,14,3,3972
BILLS-115hr2996ih,115,hr,ih,1,2,783
BILLS-115hr2997ih,115,hr,ih,15,133,53974
BILLS-115hr2997rh,115,hr,rh,33,164,62591
BILLS-115hr2998rh,115,hr,rh,1,0,13703
BILLS-115hr2999ih,115,hr,ih,10,2,773
BILLS-115hr299eh,115,hr,eh,1,7,3815
BILLS-115hr299ih,115,hr,ih,7,2,268
BILLS-115hr299rfs,115,hr,rfs,1,7,3803
BILLS-115hr299rh,115,hr,rh,330,6,4017
BILLS-115hr29ih,115,hr,ih,34,4,590
BILLS-115hr2eas,115,hr,eas,104,452,186727
BILLS-115hr2eh,115,hr,eh,70,446,120298
BILLS-115hr2enr,115,hr,enr,94,504,214120
BILLS-115hr2ih,115,hr,ih,63,393,103214
BILLS-115hr2pcs,115,hr,pcs,70,446,120336
BILLS-115hr2rh,115,hr,rh,68,405,105840
BILLS-115hr3000ih,115,hr,ih,7,1,366
BILLS-115hr3001ih,115,hr,ih,12,5,4317
BILLS-115hr3002ih,115,hr,ih,1,2,440
BILLS-115hr3003eh,115,hr,eh,0,4,2700
BILLS-115hr3003ih,115,hr,ih,4,4,2716
BILLS-115hr3003rds,115,hr,rds,0,4,2674
BILLS-115hr3004eh,115,hr,eh,0,2,941
BILLS-115hr3004ih,115,hr,ih,3,2,955
BILLS-115hr3004rds,115,hr,rds,0,2,931
BILLS-115hr3005ih,115,hr,ih,4,3,447
BILLS-115hr3006ih,115,hr,ih,3,6,2399
BILLS-115hr3007ih,115,hr,ih,3,2,192
BILLS-115hr3008eh,115,hr,eh,0,2,453
BILLS-115hr3008ih,115,hr,ih,5,2,473
BILLS-115hr3008rfs,115,hr,rfs,0,2,438
BILLS-115hr3008rh,115,hr,rh,6,2,587
BILLS-115hr3009ih,115,hr,ih,8,3,728
BILLS-115hr300ih,115,hr,ih,7,3,578
BILLS-115hr3010ih,115,hr,ih,2,2,745
BILLS-115hr3011ih,115,hr,ih,1,2,492
BILLS-115hr3012ih,115,hr,ih,1,2,215
BILLS-115hr3013ih,115,hr,ih,1,3,709
BILLS-115hr3014ih,115,hr,ih,2,2,1162
BILLS-115hr3015ih,115,hr,ih,1,6,4480
BILLS-115hr3016ih,115,hr,ih,1,3,315
BILLS-115hr3017eh,115,hr,eh,0,13,2210
BILLS-115hr3017ih,115,hr,ih,5,13,2142
BILLS-115hr3017rds,115,hr,rds,0,13,2192
BILLS-115hr3017rh,115,hr,rh,6,13,2318
BILLS-115hr3018ih,115,hr,ih,13,2,822
BILLS-115hr3019ih,115,hr,ih,4,2,716
BILLS-115hr301ih,115,hr,ih,7,4,418
BILLS-115hr3020ih,115,hr,ih,2,6,5618
BILLS-115hr3021ih,115,hr,ih,1,2,238
BILLS-115hr3022ih,115,hr,ih,1,1,313
BILLS-115hr3023ih,115,hr,ih,1,1,221
BILLS-115hr3024ih,115,hr,ih,1,7,3535
BILLS-115hr3025ih,115,hr,ih,23,12,3265
BILLS-115hr3026ih,115,hr,ih,4,2,682
BILLS-115hr3027ih,115,hr,ih,1,2,678
BILLS-115hr3028ih,115,hr,ih,1,2,597
BILLS-115hr3029ih,115,hr,ih,1,3,172
BILLS-115hr302eah,115,hr,eah,37,581,191254
BILLS-115hr302eas,115,hr,eas,0,2,1067
BILLS-115hr302eh,115,hr,eh,0,2,813
BILLS-115hr302enr,115,hr,enr,37,581,191297
BILLS-115hr302ih,115,hr,ih,32,2,912
BILLS-115hr302rfs,115,hr,rfs,0,2,814
BILLS-115hr3030eh,115,hr,eh,0,6,1318
BILLS-115hr3030ih,115,hr,ih,28,8,3068
BILLS-115hr3030pcs,115,hr,pcs,0,6,1356
BILLS-115hr3031eh,115,hr,eh,0,2,568
BILLS-115hr3031enr,115,hr,enr,0,2,570
BILLS-115hr3031ih,115,hr,ih,2,2,566
