,session,type,outcome,sponsor_count,section_count,word_count
BILLS-115hr1073rh,115,hr,rh,3,2,386
BILLS-115hr1074eh,115,hr,eh,0,0,161
BILLS-115hr1074enr,115,hr,enr,0,0,159
BILLS-115hr1074ih,115,hr,ih,4,0,178
BILLS-115hr1074rfs,115,hr,rfs,0,0,148
BILLS-115hr1074rh,115,hr,rh,4,0,274
BILLS-115hr1075ih,115,hr,ih,19,5,1295
BILLS-115hr1076ih,115,hr,ih,24,5,759
BILLS-115hr1077ih,115,hr,ih,4,2,465
BILLS-115hr1078ih,115,hr,ih,5,2,357
BILLS-115hr1079ih,115,hr,ih,4,4,442
BILLS-115hr107ih,115,hr,ih,1,2,326
BILLS-115hr1080ih,115,hr,ih,7,3,841
BILLS-115hr1081ih,115,hr,ih,1,1,261
BILLS-115hr1082ih,115,hr,ih,2,2,450
BILLS-115hr1083ih,115,hr,ih,12,16,8826
BILLS-115hr1084ih,115,hr,ih,30,26,11371
BILLS-115hr1085ih,115,hr,ih,1,2,326
BILLS-115hr1086ih,115,hr,ih,1,2,675
BILLS-115hr1087ih,115,hr,ih,2,2,1504
BILLS-115hr1088ih,115,hr,ih,7,9,2777
BILLS-115hr1089ih,115,hr,ih,4,2,377
BILLS-115hr108ih,115,hr,ih,1,2,1094
BILLS-115hr1090ih,115,hr,ih,20,3,718
BILLS-115hr1091ih,115,hr,ih,3,3,962
BILLS-115hr1092ih,115,hr,ih,3,4,1905
BILLS-115hr1093eh,115,hr,eh,0,1,343
BILLS-115hr1093ih,115,hr,ih,2,1,290
BILLS-115hr1093rfs,115,hr,rfs,0,1,335
BILLS-115hr1093rh,115,hr,rh,3,1,533
BILLS-115hr1094ih,115,hr,ih,23,2,613
BILLS-115hr1095ih,115,hr,ih,2,6,697
BILLS-115hr1096ih,115,hr,ih,9,2,588
BILLS-115hr1096rh,115,hr,rh,12,2,829
BILLS-115hr1097ih,115,hr,ih,2,5,1432
BILLS-115hr1098ih,115,hr,ih,22,2,530
BILLS-115hr1099ih,115,hr,ih,2,2,196
BILLS-115hr109ih,115,hr,ih,1,2,175
BILLS-115hr10eh,115,hr,eh,6,227,98063
BILLS-115hr10ih,115,hr,ih,14,229,96515
BILLS-115hr10rfs,115,hr,rfs,6,227,98026
BILLS-115hr10rh,115,hr,rh,47,230,97293
BILLS-115hr1100ih,115,hr,ih,2,2,428
BILLS-115hr1101eh,115,hr,eh,0,6,11385
BILLS-115hr1101ih,115,hr,ih,2,6,11324
BILLS-115hr1101rfs,115,hr,rfs,0,6,11373
BILLS-115hr1101rh,115,hr,rh,38,6,11567
BILLS-115hr1102ih,115,hr,ih,49,15,6812
BILLS-115hr1103ih,115,hr,ih,23,2,607
BILLS-115hr1104ih,115,hr,ih,2,2,442
BILLS-115hr1105ih,115,hr,ih,1,2,156
BILLS-115hr1106ih,115,hr,ih,1,2,2674
BILLS-115hr1107eh,115,hr,eh,1,13,5460
BILLS-115hr1107ih,115,hr,ih,3,13,5470
BILLS-115hr1107rfs,115,hr,rfs,1,13,5457
BILLS-115hr1107rh,115,hr,rh,4,13,5567
BILLS-115hr1108ih,115,hr,ih,1,2,1566
BILLS-115hr1109eas,115,hr,eas,0,4,463
